,Kirumi Tojo
Watch a documentary on bugs,R
Watch a documentary on athletes,Y
Watch a documentary on novelists,G
Watch an action movie,G
Watch a comedy movie,Y
Watch an anime movie,O
I might fall asleep...,Y
The video rack is bothering me...,G
"We should focus on reality, not movies",O
Let's cook something,G
Let's bake something,Y
Let's drink something,O
Let's go in the freezer,R
Let's have some tea,G
Let's try fasting,O
Drinking green tea after a meal,R
Sleeping after a meal,G
Exercising after a meal,Y
Let's read a dirty book,R
Let's read manga,G
This is boring...,Y
I'm getting sleepy...,G
Let's study,Y
Sure is dusty in here,O
This is an interesting globe...,Y
Let's read a book about maids,G
I want to scream really loud!,O
Let's get our bodies moving,G
Let's clean up a little,R
I'm tired...,O
Let's play basketball,G
"Ah, maybe we should take off our clothes?",R
Let's warm up a bit,O
Let's play dodgeball,Y
I'll be the referee,O
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,Y
Let's go back inside,R
Let's relax in the sun,G
Let's dance!,O
What a great view...,Y
I've gotten used to being here...,O
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R
